time,volt,current,compound
0.0100,-1.6000,0.0000,(Zn+Cu)0.1
0.0200,-1.6000,0.0000,(Zn+Cu)0.1
0.0300,-1.6000,0.0000,(Zn+Cu)0.1
0.0400,-1.6000,0.0000,(Zn+Cu)0.1
0.0500,-1.6000,0.0000,(Zn+Cu)0.1
0.0600,-1.6000,0.0000,(Zn+Cu)0.1
0.0700,-1.6000,0.0000,(Zn+Cu)0.1
0.0800,-1.6000,0.0000,(Zn+Cu)0.1
0.0900,-1.6000,0.0000,(Zn+Cu)0.1
0.1000,-1.6000,0.0000,(Zn+Cu)0.1
0.1100,-1.6000,0.0000,(Zn+Cu)0.1
0.1200,-1.6000,0.0000,(Zn+Cu)0.1
0.1300,-1.6000,0.0000,(Zn+Cu)0.1
0.1400,-1.6000,0.0000,(Zn+Cu)0.1
0.1500,-1.6000,0.0000,(Zn+Cu)0.1
0.1600,-1.6000,0.0000,(Zn+Cu)0.1
0.1700,-1.6000,0.0000,(Zn+Cu)0.1
0.1800,-1.6000,0.0000,(Zn+Cu)0.1
0.1900,-1.6000,0.0000,(Zn+Cu)0.1
0.2000,-1.6000,0.0000,(Zn+Cu)0.1
0.2100,-1.6000,0.0000,(Zn+Cu)0.1
0.2200,-1.6000,0.0000,(Zn+Cu)0.1
0.2300,-1.6000,0.0000,(Zn+Cu)0.1
0.2400,-1.6000,0.0000,(Zn+Cu)0.1
0.2500,-1.6000,0.0000,(Zn+Cu)0.1
0.2600,-1.6000,0.0000,(Zn+Cu)0.1
0.2700,-1.6000,0.0000,(Zn+Cu)0.1
0.2800,-1.6000,0.0000,(Zn+Cu)0.1
0.2900,-1.6000,0.0000,(Zn+Cu)0.1
0.3000,-1.6000,0.0000,(Zn+Cu)0.1
0.3100,-1.6000,0.0000,(Zn+Cu)0.1
0.3200,-1.6000,0.0000,(Zn+Cu)0.1
0.3300,-1.6000,0.0000,(Zn+Cu)0.1
0.3400,-1.6000,0.0000,(Zn+Cu)0.1
0.3500,-1.6000,0.0000,(Zn+Cu)0.1
0.3600,-1.6000,0.0000,(Zn+Cu)0.1
0.3700,-1.6000,0.0000,(Zn+Cu)0.1
0.3800,-1.6000,0.0000,(Zn+Cu)0.1
0.3900,-1.6000,0.0000,(Zn+Cu)0.1
0.4000,-1.6000,0.0000,(Zn+Cu)0.1
0.4100,-1.6000,0.0000,(Zn+Cu)0.1
0.4200,-1.6000,0.0000,(Zn+Cu)0.1
0.4300,-1.6000,0.0000,(Zn+Cu)0.1
0.4400,-1.6000,0.0000,(Zn+Cu)0.1
0.4500,-1.6000,0.0000,(Zn+Cu)0.1
0.4600,-1.6000,0.0000,(Zn+Cu)0.1
0.4700,-1.6000,0.0000,(Zn+Cu)0.1
0.4800,-1.6000,0.0000,(Zn+Cu)0.1
0.4900,-1.6000,0.0000,(Zn+Cu)0.1
0.5000,-1.6000,0.0000,(Zn+Cu)0.1
0.5100,-1.6000,0.0000,(Zn+Cu)0.1
0.5200,-1.6000,0.0000,(Zn+Cu)0.1
0.5300,-1.6000,0.0000,(Zn+Cu)0.1
0.5400,-1.6000,0.0000,(Zn+Cu)0.1
0.5500,-1.6000,0.0000,(Zn+Cu)0.1
0.5600,-1.6000,0.0000,(Zn+Cu)0.1
0.5700,-1.6000,0.0000,(Zn+Cu)0.1
0.5800,-1.6000,0.0000,(Zn+Cu)0.1
0.5900,-1.6000,0.0000,(Zn+Cu)0.1
0.6000,-1.6000,0.0000,(Zn+Cu)0.1
0.6100,-1.6000,0.0000,(Zn+Cu)0.1
0.6200,-1.6000,0.0000,(Zn+Cu)0.1
0.6300,-1.6000,0.0000,(Zn+Cu)0.1
0.6400,-1.6000,0.0000,(Zn+Cu)0.1
0.6500,-1.6000,0.0000,(Zn+Cu)0.1
0.6600,-1.6000,0.0000,(Zn+Cu)0.1
0.6700,-1.6000,0.0000,(Zn+Cu)0.1
0.6800,-1.6000,0.0000,(Zn+Cu)0.1
0.6900,-1.6000,0.0000,(Zn+Cu)0.1
0.7000,-1.6000,0.0000,(Zn+Cu)0.1
0.7100,-1.6000,0.0000,(Zn+Cu)0.1
0.7200,-1.6000,0.0000,(Zn+Cu)0.1
0.7300,-1.6000,0.0000,(Zn+Cu)0.1
0.7400,-1.6000,0.0000,(Zn+Cu)0.1
0.7500,-1.6000,0.0000,(Zn+Cu)0.1
0.7600,-1.6000,0.0000,(Zn+Cu)0.1
0.7700,-1.6000,0.0000,(Zn+Cu)0.1
0.7800,-1.6000,0.0000,(Zn+Cu)0.1
0.7900,-1.6000,0.0000,(Zn+Cu)0.1
0.8000,-1.6000,0.0000,(Zn+Cu)0.1
0.8100,-1.6000,0.0000,(Zn+Cu)0.1
0.8200,-1.6000,0.0000,(Zn+Cu)0.1
0.8300,-1.6000,0.0000,(Zn+Cu)0.1
0.8400,-1.6000,0.0000,(Zn+Cu)0.1
0.8500,-1.6000,0.0000,(Zn+Cu)0.1
0.8600,-1.6000,0.0000,(Zn+Cu)0.1
0.8700,-1.6000,0.0000,(Zn+Cu)0.1
0.8800,-1.6000,0.0000,(Zn+Cu)0.1
0.8900,-1.6000,0.0000,(Zn+Cu)0.1
0.9000,-1.6000,0.0000,(Zn+Cu)0.1
0.9100,-1.6000,0.0000,(Zn+Cu)0.1
0.9200,-1.6000,0.0000,(Zn+Cu)0.1
0.9300,-1.6000,0.0000,(Zn+Cu)0.1
0.9400,-1.6000,0.0000,(Zn+Cu)0.1
0.9500,-1.6000,0.0000,(Zn+Cu)0.1
0.9600,-1.6000,0.0000,(Zn+Cu)0.1
0.9700,-1.6000,0.0000,(Zn+Cu)0.1
0.9800,-1.6000,0.0000,(Zn+Cu)0.1
0.9900,-1.6000,0.0000,(Zn+Cu)0.1
1.0100,-1.5950,0.0000,(Zn+Cu)0.1
1.0200,-1.5900,0.0000,(Zn+Cu)0.1
1.0300,-1.5850,0.0000,(Zn+Cu)0.1
1.0400,-1.5800,0.0000,(Zn+Cu)0.1
1.0500,-1.5750,0.0000,(Zn+Cu)0.1
1.0600,-1.5700,0.0000,(Zn+Cu)0.1
1.0700,-1.5650,0.0000,(Zn+Cu)0.1
1.0800,-1.5600,0.0000,(Zn+Cu)0.1
1.0900,-1.5550,0.0000,(Zn+Cu)0.1
1.1000,-1.5500,0.0000,(Zn+Cu)0.1
1.1100,-1.5450,0.0000,(Zn+Cu)0.1
1.1200,-1.5400,0.0000,(Zn+Cu)0.1
1.1300,-1.5350,29.8715,(Zn+Cu)0.1
1.1400,-1.5300,58.0351,(Zn+Cu)0.1
1.1500,-1.5250,85.2703,(Zn+Cu)0.1
1.1600,-1.5200,112.2175,(Zn+Cu)0.1
1.1700,-1.5150,139.5732,(Zn+Cu)0.1
1.1800,-1.5100,165.3950,(Zn+Cu)0.1
1.1900,-1.5050,191.7910,(Zn+Cu)0.1
1.2000,-1.5000,216.9846,(Zn+Cu)0.1
1.2100,-1.4950,247.2234,(Zn+Cu)0.1
1.2200,-1.4900,272.1930,(Zn+Cu)0.1
1.2300,-1.4850,296.3810,(Zn+Cu)0.1
1.2400,-1.4800,320.2587,(Zn+Cu)0.1
1.2500,-1.4750,344.0610,(Zn+Cu)0.1
1.2600,-1.4700,366.7394,(Zn+Cu)0.1
1.2700,-1.4650,389.1420,(Zn+Cu)0.1
1.2800,-1.4600,411.3394,(Zn+Cu)0.1
1.2900,-1.4550,436.7976,(Zn+Cu)0.1
1.3000,-1.4500,457.5281,(Zn+Cu)0.1
1.3100,-1.4450,478.6490,(Zn+Cu)0.1
1.3200,-1.4400,493.9104,(Zn+Cu)0.1
1.3300,-1.4350,480.0639,(Zn+Cu)0.1
1.3400,-1.4300,470.6725,(Zn+Cu)0.1
1.3500,-1.4250,462.9303,(Zn+Cu)0.1
1.3600,-1.4200,453.6642,(Zn+Cu)0.1
1.3700,-1.4150,443.9925,(Zn+Cu)0.1
1.3800,-1.4100,438.1083,(Zn+Cu)0.1
1.3900,-1.4050,428.9156,(Zn+Cu)0.1
1.4000,-1.4000,420.0912,(Zn+Cu)0.1
1.4100,-1.3950,405.6608,(Zn+Cu)0.1
1.4200,-1.3900,396.2923,(Zn+Cu)0.1
1.4300,-1.3850,386.5618,(Zn+Cu)0.1
1.4400,-1.3800,377.4187,(Zn+Cu)0.1
1.4500,-1.3750,367.0967,(Zn+Cu)0.1
1.4600,-1.3700,360.4570,(Zn+Cu)0.1
1.4700,-1.3650,351.5502,(Zn+Cu)0.1
1.4800,-1.3600,340.7398,(Zn+Cu)0.1
